time,axial,temp,agl
36.0425,-0.21,67.35,1378.34
36.0438,-0.21,67.35,1378.34
36.045,-0.21,67.35,1374.79
36.0462,-0.38,67.35,1374.79
36.0475,-0.38,67.35,1374.79
36.0488,-0.38,67.35,1374.79
36.05,-0.38,67.35,1374.79
36.0513,-0.38,67.35,1374.79
36.0513,-0.38,67.35,1374.79
36.0513,-0.38,67.35,1374.79
36.0525,-0.38,67.35,1374.79
36.0537,-0.3,67.35,1374.79
36.055,-0.3,67.35,1374.79
36.0563,-0.38,67.35,1374.79
36.0575,-0.38,67.35,1374.79
36.0588,-0.38,67.35,1374.79
36.06,-0.38,67.35,1374.79
36.0612,-0.38,67.35,1374.79
36.0625,-0.38,67.35,1374.79
36.0638,-0.3,67.35,1374.79
36.065,-0.3,67.35,1374.79
36.0662,-0.3,67.35,1374.79
36.0675,-0.3,67.35,1374.79
36.0687,-0.38,67.35,1374.79
36.07,-0.38,67.35,1374.79
36.0713,-0.46,67.35,1374.79
36.0725,-0.46,67.35,1374.79
36.0737,-0.38,67.35,1374.79
36.075,-0.38,67.35,1374.79
36.0762,-0.38,67.35,1374.79
36.0775,-0.38,67.35,1374.79
36.0788,-0.38,67.35,1374.79
36.08,-0.38,67.35,1374.79
36.0812,-0.3,67.35,1374.79
36.0825,-0.3,67.35,1374.79
36.0838,-0.21,67.35,1374.79
36.085,-0.21,67.35,1374.79
36.0863,-0.38,67.35,1374.79
36.0875,-0.38,67.35,1374.79
36.0887,-0.38,67.35,1374.79
36.09,-0.38,67.32,1374.79
36.0913,-0.38,67.32,1374.79
36.0925,-0.38,67.32,1374.79
36.0938,-0.38,67.32,1374.79
36.095,-0.38,67.32,1372.43
36.0962,-0.38,67.32,1372.43
36.0975,-0.38,67.32,1372.43
36.0988,-0.38,67.32,1372.43
36.1,-0.38,67.32,1372.43
36.1012,-0.38,67.32,1372.43
36.1012,-0.38,67.32,1372.43
36.1012,-0.38,67.32,1372.43
36.1025,-0.38,67.32,1372.43
36.1037,-0.38,67.32,1372.43
36.105,-0.38,67.32,1372.43
36.1063,-0.3,67.32,1372.43
36.1075,-0.3,67.32,1372.43
36.1087,-0.21,67.32,1372.43
36.11,-0.21,67.32,1372.43
36.1113,-0.21,67.32,1372.43
36.1125,-0.21,67.32,1372.43
36.1138,-0.38,67.32,1372.43
36.115,-0.38,67.32,1372.43
36.1162,-0.38,67.32,1372.43
36.1175,-0.38,67.32,1372.43
36.1188,-0.38,67.32,1372.43
36.12,-0.38,67.32,1372.43
36.1213,-0.38,67.32,1372.43
36.1225,-0.38,67.32,1372.43
36.1237,-0.38,67.32,1372.43
36.125,-0.38,67.32,1372.43
36.1263,-0.38,67.32,1372.43
36.1275,-0.38,67.32,1372.43
36.1287,-0.38,67.32,1372.43
36.13,-0.38,67.32,1372.43
36.1312,-0.38,67.32,1372.43
36.1325,-0.38,67.32,1372.43
36.1338,-0.38,67.32,1372.43
36.135,-0.38,67.32,1372.43
36.1362,-0.38,67.32,1372.43
36.1375,-0.38,67.32,1372.43
36.1387,-0.38,67.32,1372.43
36.14,-0.38,67.32,1372.43
36.1413,-0.38,67.32,1372.43
36.1425,-0.38,67.32,1372.43
36.1437,-0.38,67.32,1372.43
36.145,-0.38,67.32,1370.06
36.1463,-0.38,67.32,1370.06
36.1475,-0.38,67.32,1370.06
36.1488,-0.38,67.32,1370.06
36.15,-0.38,67.32,1370.06
36.1512,-0.38,67.32,1370.06
36.1512,-0.38,67.32,1370.06
36.1512,-0.38,67.32,1370.06
36.1525,-0.38,67.32,1370.06
36.1538,-0.3,67.32,1370.06
36.155,-0.3,67.32,1370.06
36.1563,-0.3,67.32,1370.06
36.1575,-0.3,67.32,1370.06
36.1587,-0.3,67.32,1370.06
36.16,-0.3,67.32,1370.06
36.1613,-0.21,67.32,1370.06
36.1625,-0.21,67.32,1370.06
36.1637,-0.21,67.32,1370.06
36.165,-0.21,67.32,1370.06
36.1662,-0.21,67.32,1370.06
36.1675,-0.21,67.32,1370.06
36.1688,-0.21,67.32,1370.06
36.17,-0.21,67.32,1370.06
36.1712,-0.21,67.32,1370.06
36.1725,-0.21,67.32,1370.06
36.1738,-0.3,67.32,1370.06
36.175,-0.3,67.32,1370.06
36.1763,-0.21,67.32,1370.06
36.1775,-0.21,67.32,1370.06
36.1787,-0.21,67.32,1370.06
36.18,-0.21,67.32,1370.06
36.1813,-0.3,67.32,1370.06
36.1825,-0.3,67.32,1370.06
36.1838,-0.21,67.32,1370.06
36.185,-0.21,67.32,1370.06
36.1862,-0.21,67.32,1370.06
36.1875,-0.21,67.32,1370.06
36.1888,-0.21,67.32,1370.06
36.19,-0.21,67.32,1370.06
36.1912,-0.0400001,67.32,1370.06
36.1925,-0.0400001,67.32,1370.06
36.1937,-0.21,67.32,1370.06
36.195,-0.21,67.32,1367.69
36.1963,-0.21,67.32,1367.69
36.1975,-0.21,67.32,1367.69
36.1987,-0.0400001,67.32,1367.69
36.2,-0.0400001,67.32,1367.69
36.2012,-0.21,67.32,1367.69
36.2012,-0.21,67.32,1367.69
36.2012,-0.21,67.32,1367.69
36.2025,-0.21,67.32,1367.69
36.2038,-0.3,67.32,1367.69
36.205,-0.3,67.32,1367.69
36.2062,-0.3,67.32,1367.69
36.2075,-0.3,67.32,1367.69
36.2088,-0.38,67.32,1367.69
36.21,-0.38,67.32,1367.69
36.2113,-0.3,67.32,1367.69
36.2125,-0.3,67.32,1367.69
36.2137,-0.3,67.32,1367.69
36.215,-0.3,67.32,1367.69
36.2163,-0.38,67.32,1367.69
36.2175,-0.38,67.32,1367.69
36.2188,-0.3,67.32,1367.69
36.22,-0.3,67.32,1367.69
36.2212,-0.38,67.32,1367.69
36.2225,-0.38,67.32,1367.69
36.2238,-0.3,67.32,1367.69
36.225,-0.3,67.32,1367.69
36.2262,-0.38,67.32,1367.69
36.2275,-0.38,67.32,1367.69
36.2287,-0.38,67.32,1367.69
36.23,-0.38,67.32,1367.69
36.2313,-0.38,67.32,1367.69
36.2325,-0.38,67.32,1367.69
36.2337,-0.21,67.32,1367.69
36.235,-0.21,67.32,1367.69
36.2363,-0.38,67.32,1367.69
36.2375,-0.38,67.32,1367.69
36.2388,-0.3,67.32,1367.69
36.24,-0.3,67.32,1367.69
36.2412,-0.13,67.32,1367.69
36.2425,-0.13,67.32,1367.69
36.2438,-0.21,67.32,1367.69
36.245,-0.21,67.32,1365.34
36.2463,-0.21,67.32,1365.34
36.2475,-0.21,67.32,1365.34
36.2487,-0.3,67.32,1365.34
36.25,-0.3,67.32,1365.34
36.2513,-0.21,67.32,1365.34
36.2513,-0.21,67.32,1365.34
