axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
0.34875,16.88,b1100,6.99,66.84,b1110,6.995,2161.74,b1110
0.35125,16.88,b1100,7.04,66.84,b1110,7.045,2170.21,b1110
0.35375,16.96,b1100,7.09,66.84,b1110,7.095,2178.68,b1110
0.35625,16.71,b1100,7.14,66.84,b1110,7.145,2188.37,b1110
0.35875,17.04,b1100,7.19,66.84,b1110,7.195,2196.85,b1110
0.36125,16.79,b1100,7.24,66.84,b1110,7.245,2205.33,b1110
0.36375,16.79,b1100,7.29,66.84,b1110,7.295,2215.03,b1110
0.36625,17.04,b1100,7.34,66.81,b1110,7.345,2224.72,b1110
0.36875,16.96,b1100,7.39,66.81,b1110,7.395,2233.21,b1110
0.37125,16.71,b1100,7.44,66.81,b1110,7.445,2242.92,b1110
0.37375,16.88,b1100,7.49,66.84,b1110,7.495,2251.41,b1110
0.37625,16.79,b1100,7.54,66.81,b1110,7.545,2261.11,b1110
0.37875,16.79,b1100,7.59,66.81,b1110,7.595,2270.82,b1110
0.38125,16.79,b1100,7.64,66.81,b1110,7.645,2279.33,b1110
0.38375,16.79,b1100,7.69,66.81,b1110,7.695,2287.83,b1110
0.38625,17.13,b1100,7.74,66.81,b1110,7.745,2296.34,b1110
0.38875,16.71,b1100,7.79,66.81,b1110,7.795,2304.84,b1110
0.39125,16.88,b1100,7.84,66.78,b1110,7.845,2313.34,b1110
0.39375,16.96,b1100,7.89,66.78,b1110,7.895,2320.64,b1110
0.39625,16.79,b1100,7.94,66.78,b1110,7.945,2327.93,b1110
0.39875,16.71,b1100,7.99,66.78,b1110,7.995,2336.45,b1110
0.40125,16.71,b1100,8.04,66.78,b1110,8.045,2343.75,b1110
0.40375,16.71,b1100,8.09,66.78,b1110,8.095,2352.27,b1110
0.40625,16.96,b1100,8.14,66.78,b1110,8.145,2359.58,b1110
0.40875,16.71,b1100,8.19,66.75,b1110,8.195,2366.88,b1110
0.41125,16.88,b1100,8.24,66.75,b1110,8.245,2374.18,b1110
0.41375,17.04,b1100,8.29,66.75,b1110,8.295,2382.71,b1110
0.41625,16.96,b1100,8.34,66.75,b1110,8.345,2391.24,b1110
0.41875,16.71,b1100,8.39,66.75,b1110,8.395,2398.55,b1110
0.42125,16.96,b1100,8.44,66.75,b1110,8.445,2407.08,b1110
0.42375,16.88,b1100,8.49,66.75,b1110,8.495,2414.4,b1110
0.42625,16.79,b1100,8.54,66.75,b1110,8.545,2420.49,b1110
0.42875,16.88,b1100,8.59,66.75,b1110,8.595,2429.03,b1110
0.43125,16.71,b1100,8.64,66.75,b1110,8.645,2435.13,b1110
0.43375,16.88,b1100,8.69,66.75,b1110,8.695,2441.23,b1110
0.43625,16.63,b1100,8.74,66.75,b1110,8.745,2448.55,b1110
0.43875,16.63,b1100,8.79,66.72,b1110,8.795,2455.88,b1110
0.44125,16.71,b1100,8.84,66.72,b1110,8.845,2463.21,b1110
0.44375,16.63,b1100,8.89,66.72,b1110,8.895,2469.31,b1110
0.44625,16.71,b1100,8.94,66.72,b1110,8.945,2475.42,b1110
0.44875,16.71,b1100,8.99,66.72,b1110,8.995,2481.52,b1110
0.45125,16.54,b1100,9.04,66.72,b1110,9.045,2487.63,b1110
0.45375,16.71,b1100,9.09,66.72,b1110,9.095,2493.75,b1110
0.45625,16.71,b1100,9.14,66.69,b1110,9.145,2498.64,b1110
0.45875,16.63,b1100,9.19,66.69,b1110,9.195,2504.75,b1110
0.46125,16.63,b1100,9.24,66.72,b1110,9.245,2510.86,b1110
0.46375,16.71,b1100,9.29,66.72,b1110,9.295,2516.98,b1110
0.46625,16.54,b1100,9.34,66.69,b1110,9.345,2523.09,b1110
0.46875,16.54,b1100,9.39,66.69,b1110,9.395,2529.21,b1110
0.47125,16.71,b1100,9.44,66.72,b1110,9.445,2534.1,b1110
0.47375,16.46,b1100,9.49,66.72,b1110,9.495,2540.22,b1110
0.47625,16.71,b1100,9.54,66.72,b1110,9.545,2545.12,b1110
0.47875,16.71,b1100,9.59,66.72,b1110,9.595,2551.24,b1110
0.48125,16.46,b1100,9.64,66.72,b1110,9.645,2557.36,b1110
0.48375,16.71,b1100,9.69,66.72,b1110,9.695,2562.26,b1110
0.48625,16.37,b1100,9.74,66.72,b1110,9.745,2568.39,b1110
0.48875,16.37,b1100,9.79,66.72,b1110,9.795,2573.28,b1110
0.49125,16.63,b1100,9.84,66.72,b1110,9.845,2578.18,b1110
0.49375,16.37,b1100,9.89,66.72,b1110,9.895,2583.09,b1110
0.49625,16.54,b1100,9.94,66.72,b1110,9.945,2587.99,b1110
0.49875,16.46,b1100,9.99,66.72,b1110,9.995,2594.11,b1110
0.50125,16.37,b1100,10.04,66.72,b1110,10.045,2599.02,b1110
0.50375,16.37,b1100,10.09,66.72,b1110,10.095,2603.92,b1110
0.50625,16.37,b1100,10.14,66.72,b1110,10.145,2608.83,b1110
0.50875,16.37,b1100,10.19,66.72,b1110,10.195,2612.51,b1110
0.51125,16.21,b1100,10.24,66.72,b1110,10.245,2617.42,b1110
0.51375,16.37,b1100,10.29,66.72,b1110,10.295,2621.09,b1110
0.51625,16.37,b1100,10.34,66.69,b1110,10.345,2626.01,b1110
0.51875,16.37,b1100,10.39,66.72,b1110,10.395,2629.68,b1110
0.52125,16.29,b1100,10.44,66.69,b1110,10.445,2633.37,b1110
0.52375,16.29,b1100,10.49,66.72,b1110,10.495,2637.05,b1110
0.52625,16.12,b1100,10.54,66.72,b1110,10.545,2640.73,b1110
0.52875,16.12,b1100,10.59,66.72,b1110,10.595,2645.64,b1110
0.53125,16.29,b1100,10.64,66.69,b1110,10.645,2649.33,b1110
0.53375,16.04,b1100,10.69,66.72,b1110,10.695,2653.01,b1110
0.53625,16.21,b1100,10.74,66.72,b1110,10.745,2656.7,b1110
0.53875,16.29,b1100,10.79,66.72,b1110,10.795,2660.38,b1110
0.54125,16.21,b1100,10.84,66.72,b1110,10.845,2664.06,b1110
0.54375,16.21,b1100,10.89,66.72,b1110,10.895,2667.75,b1110
0.54625,16.21,b1100,10.94,66.72,b1110,10.945,2671.43,b1110
0.54875,16.12,b1100,10.99,66.72,b1110,10.995,2673.9,b1110
0.55125,16.29,b1100,11.04,66.69,b1110,11.045,2677.58,b1110
0.55375,16.12,b1100,11.09,66.72,b1110,11.095,2681.26,b1110
0.55625,16.12,b1100,11.14,66.72,b1110,11.145,2683.73,b1110
0.55875,16.29,b1100,11.19,66.72,b1110,11.195,2686.18,b1110
0.56125,16.12,b1100,11.24,66.72,b1110,11.245,2688.64,b1110
0.56375,16.29,b1100,11.29,66.72,b1110,11.295,2692.33,b1110
